nse,investpy,isin
BANKBARODA,BOB,INE028A01039
BHEL,BHEL,INE257A01026
GAIL,GAIL,INE129A01019
GMRINFRA,GMRI,INE776C01039
IDEAEQN,VODA,INE669E01016
IDFCFIRST,IDFB,INE092T01019
NTPC,NTPC,INE733E01010
PNB,PNBK,INE160A01022
SAIL,SAIL,INE114A01011
TATAMOTORS,TAMO,INE155A01022
WIPRO,WIPR,INE075A01022
COALINDIA,COAL,INE522F01014
NATIONALUM,NALU,INE139A01034
CANBK,CNBK,INE476A01014
BANDHANBNK,BANH,INE545U01014
RECLTD,RECM,INE020B01018
DABUR,DABU,INE016A01026
MARICO,MRCO,INE196A01026
ZEEL,ZEE,INE256A01028
SUNTV,SUTV,INE424H01027
SUNPHARMA,SUN,INE044A01036
BIOCON,BION,INE376G01013
IBREALEST,INRL,INE069I01010
DLF,DLF,INE271C01023
ONGC,ONGC,INE213A01029
BPCL,BPCL,INE029A01011
HINDALCO,HALC,INE038A01020
SBIN,SBI,INE062A01020
SUBEXLTD,SUBX,INE754A01055
TV18BRDCST,TVEB,INE886H01027
